ALG-PAR
PAR-RIO
MIR-NCE
HAM-IST
LED-PAR
LYS-YMQ
HAJ-IST
MRS-RAK
AMS-MAD
NCE-NTE
BRU-MAD
LIS-MRS
LIL-NCE
LIS-NCE
FRA-MAD
DKR-LYS
LYS-NYC
KIV-PAR
MRS-ORN
LYS-ORN
LCA-PAR
LIM-PAR
CAS-LYS
MAA-PAR
LIL-MRS
PAR-ZRH
HEL-PAR
OSA-PAR
PAR-THR
PAR-YAO
PAR-WAW
BUH-PAR
LYS-MIR
BOG-PAR
AMS-MUC
MPL-NTE
FIH-PAR
AJA-MRS
AYT-PAR
PAR-TCI
EVN-PAR
SXB-TUN
BRU-NYC
CTA-PAR
BRU-TUN
LIL-TLS
BRU-IST
GVA-LIS
BUE-PAR
BRU-GVA
LYS-QSF
LYS-PAR
BES-PAR
BRU-LYS
JNB-PAR
BKK-FRA
RAK-TLS
CAY-PAR
BCN-TLV
PAR-REK
DZA-PAR
AMS-IST
LIS-LUX
FRA-PAR
LYS-PRG
ATH-LYS
BIA-MRS
ANK-PAR
NCE-TLV
ORN-TLS
BCN-LIS
GZT-PAR
SXB-TLS
AMS-TLV
PAR-SAO
LAS-PAR
BHX-PAR
IZM-PAR
AMS-LIS
BKK-GVA
ALG-LIL
DKR-NTE
VIE-ZRH
BOD-RAK
BRU-NCE
BOD-CAS
AMS-LON
BOD-NCE
LON-LYS
BKK-BRU
FNC-PAR
PAR-TGD
AAE-PAR
ATH-GVA
BKK-MUC
AMS-BCN
GVA-OPO
CAS-MRS
JTR-PAR
PAR-SFA
PAR-RGN
MRS-RNS
CAS-TLS
AMM-PAR
LUX-NCE
ATH-BRU
BUE-LON
PAR-WAS
AJA-NTE
MRS-NYC
CAS-NTE
BOD-LIL
ATH-MRS
NTE-TUN
PAR-QUF
LYS-MAD
PAR-REP
HAM-MUC
MEX-PAR
PAR-SCL
GVA-NYC
DKR-MRS
LPA-PAR
CKY-PAR
HAJ-PAR
ALG-TLS
PAR-YVA
BRE-PAR
BER-MUC
CHI-PAR
BCN-BRU
NTE-RAK
PAR-SJO
AUH-PAR
DUS-PAR
ROM-TLS
GVA-IST
BOD-TUN
AKL-PAR
LYS-MLA
BLQ-PAR
PRG-TLV
IST-NUE
LIM-MAD
PAR-TIA
AMS-GVA
ALC-PAR
FSC-MRS
AJA-TLS
NCE-OPO
PAR-VTE
AMS-BOD
BKK-LYS
DUB-LON
NTE-ROM
CAG-PAR
BIA-NTE
EAP-IST
BCN-MAD
MAD-ROM
AJA-BOD
LDE-PAR
ATH-NTE
CAN-PAR
NCE-RNS
BEY-BRU
NCE-NYC
NCE-SXB
MAD-NTE
MEL-PAR
MUC-NCE
MRS-ROM
LIS-LON
LYS-TLS
OUA-PAR
BRU-PRG
BOD-DKR
BOS-PAR
HRG-PAR
NKC-PAR
DKR-TLS
IGU-RIO
BIA-BRU
GVA-MAD
NTE-PAR
BES-LYS
AMS-TLS
CZL-MRS
BER-TLV
LON-VIE
ATH-TLS
PAR-TPE
AJA-BRU
GVA-TUN
BKK-MAD
LON-LUX
GVA-LON
DJE-MRS
LON-MAD
NTE-TLS
BOD-LIS
LON-NCE
BKK-MRS
FRA-TUN
BKK-NCE
BIQ-LYS
MRS-YMQ
BRU-ROM
DSS-LYS
BCN-PMI
ATH-NCE
BOM-PAR
LJU-PAR
LYS-RNS
FAO-LYS
NTE-SXB
ASR-PAR
BRU-RAK
BEY-LYS
BRU-DXB
BRU-CAS
PAR-PPT
ALG-BOD
BOD-LON
BRU-TLV
PAR-RIX
CTA-MLA
BRI-PAR
BKK-TLS
PAR-SKG
DSS-LIS
PAR-YQB
NCE-PRG
PAR-YVR
NCL-PAR
ALG-NTE
AGP-BRU
AMS-NCE
AJA-LYS
NYC-TLS
ORL-PAR
CFR-LYS
BUE-MAD
BOD-SXB
CZL-LYS
FRA-NYC
MRS-TLV
BRU-MIL
BRU-VIE
AAE-MRS
FNC-LYS
DXB-LYS
NTE-VCE
AMS-ROM
HKT-USM
BOD-MAD
COO-PAR
AMS-IBZ
MOW-NCE
BCN-BKK
CFE-PAR
PAR-PUJ
LON-MRS
BCN-BUE
BIA-LYS
BKK-HKT
PAR-RHO
PAR-SSA
BRU-TLS
AGP-AMS
MIA-NYC
BUH-TLV
ALC-AMS
BOD-ROM
MAD-SCL
LYS-NCE
BXN-PAR
COK-PAR
CPT-PAR
IST-ZRH
GVA-PRG
BJA-MRS
BER-STR
CAS-GVA
MRS-PRG
MAD-TLS
DZA-RUN
BCN-TYO
OZZ-PAR
AMS-BER
KYA-PAR
MRS-MUC
NBO-PAR
LON-MLA
BRU-TNG
ATH-JTR
DPS-GVA
MAD-NCE
BUD-LYS
MAD-MRS
AMS-ZRH
ATH-TLV
RNS-TLS
AMS-NTE
AGP-LYS
LCA-TLV
NCE-VIE
PAR-SJJ
MUC-TLS
MIR-MRS
CAS-NCE
BRU-DPS
LIL-LYS
PAR-SEZ
PAR-VNO
DSS-MRS
BIO-PAR
ANK-FRA
BRE-IST
BEG-TIV
CAS-DSS
DUB-GVA
MAD-TLV
GRZ-PAR
AMS-OPO
MCT-PAR
PAR-VIL
HER-LYS
GOT-PAR
BER-VIE
LED-MOW
BRU-OPO
BES-NCE
LON-TLV
BEY-MRS
BRU-LON
LYS-STO
BRU-NTE
AJA-NCE
DUS-MUC
CLY-MRS
BRU-ZAG
LYS-OPO
BRU-MRS
BER-ZRH
FRA-LIS
LYS-MOW
AMS-VLC
BEG-TGD
LAX-LYS
TLS-YMQ
BZV-PAR
PAR-ZNZ
PAP-PAR
TLS-TLV
LYS-MUC
GOA-PAR
DUB-LYS
FAO-NTE
BER-LYS
LYS-RUN
LIS-RAK
FSC-NTE
MRS-SXB
AMS-ATH
ATH-BOD
BCN-LUX
JMK-PAR
LYS-SVQ
BGO-PAR
ATH-LCA
DJE-NTE
BDS-PAR
LFW-PAR
PRG-TLS
MAD-MUC
GVA-ROM
LYS-VIE
DOH-PAR
LYS-VCE
BER-MRS
PAR-PDL
PAR-VXE
ODS-PAR
BCN-LON
FNC-LIS
ADA-PAR
BER-BRU
PAR-TOS
LON-ZAG
AMS-CPH
LYS-ROM
BSK-PAR
BCN-LYS
BER-FRA
LIS-OPO
LIS-RAI
PAR-SXM
RUN-TNR
ASR-LYS
BKK-DUS
CFR-NCE
DKR-GVA
MAD-ZRH
BRU-MLA
CAS-TUN
MLA-ROM
FRA-NCE
BCN-TUN
BEY-NCE
IST-MRS
NTE-YMQ
MAD-TYO
MRS-RUN
NYC-YMQ
IEV-NCE
BRU-YMQ
BER-BKK
BIA-BOD
CPH-MUC
MLA-MRS
AMS-DPS
BRU-DKR
PAR-VAR
NCE-ROM
GVA-TLV
EDI-LYS
MIA-NCE
PAR-RDZ
FSC-NCE
AQP-LIM
LIS-VIE
NCE-YMQ
BES-MRS
LYS-TLV
BOD-BRU
ROM-TLV
PAR-TOE
PAR-WDH
ACE-PAR
DSS-NTE
ABJ-LYS
AMS-MLA
MAD-SJO
GVA-RAK
DUS-TUN
CPH-LYS
EVN-LYS
BKK-KBV
OPO-ZRH
LYS-MIA
BRU-STO
DJE-TUN
MIL-TUN
CFK-PAR
DXB-MRS
LAS-SFO
PAR-SDQ
DPS-MRS
AMS-RNS
DJE-SXB
BCN-ROM
LON-TLS
LYS-TYO
GVA-NCE
AJA-LIL
GVA-MRU
IEV-LYS
MUC-RLG
BCN-CAS
MLA-TUN
BRU-CTA
ATH-ROM
DUS-VIE
TLS-VIE
LIL-NTE
KRT-PAR
BRU-MOW
MUC-NTE
MRS-TLM
LUX-ROM
IST-TLV
MLH-PAR
MUC-TUN
BCN-PRG
PAR-SUF
BRU-HKT
BUE-SCL
FRA-TLV
BEY-IST
AMS-EAP
MAD-PRG
DKR-NCE
AAE-LYS
LYS-NOU
FOR-PAR
AMS-ZAG
BRU-FIH
MUC-NYC
BER-CGN
MLE-PAR
NUE-PAR
CNX-USM
CZL-MLH
LYS-SFO
DUS-PMI
CPH-FRA
MAH-PAR
HAM-MRS
OPO-TLS
BNE-PAR
AMS-BIO
AMS-PRG
BOG-MAD
CAS-LIS
MIL-NTE
PAR-SID
DPS-SIN
MAD-TUN
TLS-VCE
BEY-GVA
BCN-GVA
HEL-LON
SEL-TYO
NYC-TLV
LIS-MUC
LWO-PAR
IEV-TLV
NCE-TLS
ETZ-NCE
MOW-MRS
LAX-NCE
BUE-IGR
BCN-MOW
NTE-PRG
FDF-LYS
LAX-SFO
BRU-IEV
AMS-GLA
BRU-HEL
CFR-TLS
GLA-PAR
ROM-TUN
PAR-SKP
BOD-VCE
BER-BOD
BEL-CAY
BIA-NCE
NTE-NYC
KBV-PAR
FRA-STO
BUD-TLS
PAR-UIO
HAM-TLS
GVA-MLA
GVA-MIA
DEN-PAR
LYS-PTP
BKK-CNX
MOW-TLS
DUS-GVA
BRU-TYO
PAR-PTY
LAX-NYC
FNC-NTE
ADD-PAR
RLG-STR
BRU-DSS
MIA-MRS
PAR-TRN
FAO-MRS
MAD-PMI
DSS-TLS
GRX-PAR
FRA-TBS
FNC-TLS
DPS-LYS
IST-TLS
AYT-GVA
AMS-CAS
CHQ-PAR
GVA-TYO
GVA-STO
ALG-GVA
HER-NTE
DXB-GVA
BRU-FAO
BER-TBS
MRS-VIE
MAD-OPO
LBV-PAR
BCN-NYC
PAR-ULN
BER-NYC
LPB-PAR
FAO-TLS
BUD-TLV
PAR-STR
BER-BEY
DPS-FRA
LYS-PUF
OSL-TOS
ATH-MAD
BOD-PTP
DAR-PAR
BOD-NYC
LAS-LAX
FUE-PAR
CAI-MRS
ATH-MUC
GVA-MOW
LYS-SHA
MIL-TLV
MUC-TLV
BER-STO
BKK-BOD
BOD-DPS
NOU-TLS
GOI-PAR
BIA-LIL
BCN-SJO
MGA-PAR
CFR-MRS
AGP-MUC
BCN-NCE
BUD-MRS
PAR-VGO
DXB-NCE
FSC-TLS
AMS-SJO
BOD-FSC
ANK-VIE
AMS-MIL
KRK-PAR
AMS-VIE
ANK-BER
HAM-NYC
IST-NCE
BRS-PAR
BUH-MAD
NTE-OPO
AMS-BKK
BRU-TIA
BOD-HAM
LPB-MAD
BES-BOD
LAX-MRS
MRS-RBA
BES-TLS
AMS-STO
ALG-ETZ
DUS-NYC
BOD-FRA
MAD-MIL
LIS-PDL
BRU-DJE
BRU-VCE
KOS-REP
CCS-MAD
CPH-TLV
NYC-SFO
JED-PAR
BRU-JNB
HKG-SHA
BER-NTE
BRU-MIA
HAM-ROM
LYS-OSL
BUD-NCE
BER-TOS
BEY-FRA
MRS-PTP
ANK-GVA
BJA-LYS
LYS-MRU
BRU-CPH
GVA-IEV
MRU-ZSE
ANK-LYS
DJE-NCE
IBZ-PMI
FRA-LON
FRA-HEL
GVA-LAX
LCA-LON
FRA-ZAG
LAS-NYC
LED-LYS
DBV-ZAG
BRU-TBS
MRS-NOU
LIL-ORN
NYC-ORL
PAR-SBH
AMS-VCE
ALG-BCN
LYS-SOF
AMS-NYC
BOD-PRG
AGP-NCE
BRU-PAR
MUC-PMI
AMS-MPL
LPQ-PAR
CAI-SSH
DUS-TLV
FRA-LYS
LIS-ZRH
REP-SGN
IEV-MRS
MRS-VCE
BUH-LYS
RIO-SAO
AGP-NTE
AYT-LYS
BRU-SPU
LON-ROM
PAR-ZAD
MUC-STO
ATH-IST
LUX-NYC
HAM-LYS
ACC-PAR
BRU-MUC
CNX-PAR
DPS-ZRH
BRU-FNC
BLR-PAR
ALG-TUN
BRU-QUF
CPT-JNB
EAP-NYC
CGN-MUC
ATH-BCN
CAS-MPL
LON-SIN
LIS-ZAG
LON-OPO
HAM-NTE
CTU-PAR
ALG-MPL
BRU-LAX
AGA-LYS
LYS-TNG
PTP-SFG
GVA-VIE
LIS-VLC
LJU-TGD
DUB-STO
BIQ-MRS
BOD-YMQ
LUX-VIE
GUA-PAR
BCN-SCL
LYS-VLC
LON-QUF
GVA-OSL
BOD-CLY
AGA-MRS
RUN-TLS
CAS-MAD
ALC-BRU
BER-LIS
FRA-TYO
BOD-ORN
MSQ-PAR
CFK-MRS
PAR-SSH
KGL-PAR
AMS-CTA
BOD-FDF
BOD-VIE
FRA-TLS
DXB-FRA
PAR-TZX
IST-SZG
LYS-XJY
BRU-ZRH
MAD-VCE
ROM-VCE
JIB-PAR
IST-LUX
DUS-STO
DPS-NCE
BCN-LIM
TLV-VIE
IBZ-MAD
MAD-MOW
BUH-NCE
ANK-STR
BRU-OSL
DPS-TLS
MRS-MRU
BRU-NAP
HAM-TLV
DUB-MRS
HEL-STO
AMS-OSL
IEV-TLS
ASR-MUC
GVA-HER
LRH-LYS
NCE-RAK
BER-HEL
IST-LON
LIS-PRG
BEY-TLS
CAI-HRG
DUB-ZAG
CHI-NYC
BRU-THR
BCN-NTE
PAR-TAS
ABZ-PAR
BIO-LIS
MRS-OPO
GVA-VLC
LYS-SGN
KMG-PAR
GVA-YMQ
JRO-PAR
BCN-VIE
ATH-LUX
STR-TZX
BRU-FLR
BER-LUX
CFR-FSC
AGP-GVA
BLL-PAR
BRU-HER
HER-TLS
PAR-WNZ
BOD-IST
ALG-SXB
BKK-ZRH
FRA-HKT
FRA-ROM
BOG-CTG
BUD-NTE
BJS-LYS
PAR-SVG
CMB-FRA
BER-MAD
BOD-MUC
LYS-TCI
PAR-SEA
ATH-DUB
GVA-HKT
BRU-DBV
LYS-SPU
CAI-FRA
FRA-SYD
BRU-SFO
BCN-BOD
ALC-LYS
NTE-XJY
LYS-TIA
CPH-MRS
FDF-MRS
BOD-FAO
DUS-ZRH
NCE-SOF
HEL-LYS
BEG-BRU
MLX-PAR
ALG-BRU
PNH-REP
FAO-LUX
PAR-RVN
SOF-VAR
SOF-TLV
EDI-TLS
FRA-MNL
HAV-LYS
LIM-LYS
ATH-LON
MSY-PAR
PAR-PAS
AMS-HAN
LUX-MUC
LUX-MIL
BRU-CAI
ETZ-TLS
BGF-PAR
DUS-MRS
CPH-VIE
BOD-DSS
HOU-PAR
INN-PAR
KUL-SIN
LIS-VCE
PAR-UIP
BEY-LCA
BRU-SJO
LYS-PMO
BES-MPL
DUB-LUX
FRA-SPU
BCN-DUS
BOD-DUS
ALC-REK
HAM-LIS
IST-TBS
LUX-MAD
PAR-SCQ
BER-ROM
BER-CAI
MBA-NBO
LYS-WAW
FRA-TIA
MAD-RNS
BRU-TCI
BEG-NCE
CUN-GVA
BRU-LIM
LYS-PNH
RNS-SXB
NYC-STR
BKK-EAP
CFU-PAR
BUE-FTE
AMS-SPU
BOD-FNC
FRA-VIE
CUN-HAV
CPH-STO
GVA-HEL
AMS-SGN
GDN-PAR
AGP-LON
BOD-RUN
CMB-MLE
IST-LEJ
PAR-PER
AMS-BUH
LOS-PAR
NYC-VIE
DUS-TLS
HKT-LYS
PAR-SHE
BRU-NDR
CAI-LYS
CLO-MAD
LON-ZRH
CLY-NTE
STR-TLV
LUX-MLA
DXB-TLS
EDI-MRS
MUC-TBS
BIQ-NCE
ABJ-MRS
MAD-UIO
AJA-CFR
CPH-DUB
DUS-LYS
ATH-LIS
MRS-STO
DSS-MAD
LUX-PAR
CAY-FDF
FNC-MRS
SKP-ZAG
CMB-MUC
AGA-BRU
AMS-DUB
BER-DXB
BKK-LON
AMS-RAK
GVA-LED
PAR-TIV
TBS-TLV
HRK-PAR
CTA-LYS
KYA-LYS
LIS-MIL
RAI-VXE
BEG-FRA
MAD-NYC
AMM-BRU
AYT-IST
DXB-LON
PMO-ROM
HAM-NCE
HKG-LYS
IEV-LIS
HER-MRS
FSC-LIL
FRA-SIN
ASR-GVA
BCN-RAK
DPS-LOP
LAX-TYO
AGA-NTE
CPT-FRA
LUX-VCE
FRA-SGN
CAI-LXR
BIA-TLS
HKT-MRS
PAR-SZG
CEB-PAR
FRU-PAR
KWI-PAR
NYC-YTO
FRA-MRS
GVA-LUX
NOS-PAR
FRA-WDH
AGP-TLS
DUS-NCE
AGP-BOD
PAR-WUH
MUC-ROM
PAR-PRN
BCN-FRA
HAM-STR
BUH-TLS
MRS-TYO
MAD-RAK
DEL-LYS
DUS-LAX
AMS-BHX
KZN-MOW
BUH-FRA
AGP-MAD
BRU-LED
GVA-HAV
NYU-RGN
BRU-PMO
LON-PRG
PTP-TLS
BER-MOW
HAM-IZM
BCN-MRS
HKT-NCE
GVA-PNH
OLB-PAR
BUE-MDZ
GVA-TNG
LON-MOW
LYS-TGD
BRU-OUD
LYS-YTO
CPH-STR
BCN-HAV
LRT-PAR
STR-TBS
FSC-LYS
DUB-HEL
BRU-HKG
ANK-DUS
NCE-TYO
CPH-NCE
HAM-MPL
BRU-WAW
ADA-FRA
CUN-MAD
PNH-TLS
RIO-SSA
BRU-HRG
BRU-SGN
LYS-SJO
AJA-BES
LON-NOU
LYS-SCL
AMS-EDI
EAP-LON
LON-MNL
BOD-STO
MIA-TLS
MIL-MLA
IST-TUN
DUB-OSL
TLV-ZRH
YMQ-YTO
BER-CPH
ADA-HAM
BCN-DPS
BOG-LYS
AMS-STR
CAS-SXB
NCE-STO
BUH-LON
AMS-TNG
DXB-IST
CAI-MAD
LON-TYO
NCE-SFO
TLV-WAW
DUB-MAD
HKT-MUC
BCN-ZAG
MRU-TLS
BES-TLN
AMS-HEL
GOT-LYS
FDF-TLS
MLA-MUC
NTE-PMI
DUS-ROM
CAI-DOH
BKK-HAM
CBB-MAD
AER-MOW
BES-BIA
ASR-STR
MLA-NCE
DUB-TLS
LIS-ROM
BRU-HAN
LYS-RIO
MAD-TCI
NCE-PMI
AKL-LON
BER-DUS
BRU-SOF
CPH-TLS
CMB-TLS
CAY-FOR
LIG-LYS
MIL-MRS
ETZ-MRS
ALG-NCE
TUN-VIE
ATL-PAR
JNB-WDH
CTA-ROM
CAS-MOW
ADA-MUC
AMS-FRA
BKK-NTE
PRG-ROM
BRU-BUH
BRU-RBA
LON-NTE
BCN-ZRH
MLA-VIE
RNS-ROM
DSS-GVA
BCN-BOG
LYS-SIN
BRU-SHA
DUS-NTE
BOD-PMI
GVA-SIN
PAR-PNR
GVA-LIM
AMS-LJU
OSL-STO
MAD-SRZ
GVA-SFO
SPU-ZAG
AGA-TLS
AMS-HAM
BRU-MIR
NIM-PAR
LIS-SAO
MAN-MRS
FRA-TZX
ATH-FRA
FDF-NTE
BOD-CPH
FDH-IST
AMS-TBS
BEG-IST
ANK-HAM
AMS-BOG
EAP-MAD
ZAG-ZRH
FRA-YTO
BER-OSL
DUS-SFO
BRU-EVN
CMB-GVA
HAN-LYS
BIQ-GVA
ORK-PAR
AMS-BEY
DCM-PAR
AMM-BEY
EVN-MRS
AMS-CFE
DUS-HEL
MRS-SGN
CAI-GVA
LON-SYD
CLY-NCE
HAV-MRS
RRG-RUN
CPH-DUS
LYS-YAO
NTE-VIE
LAX-TLS
ROM-ZRH
CPH-LIS
PAR-POZ
FRA-LAX
HAJ-NCE
LYS-MAN
AMS-MOW
BEY-BOD
AMS-SOF
MOW-NTE
BOD-HER
BCN-IST
FLR-GVA
ABJ-DSS
LON-TIA
PAR-SSX
AMS-MGA
ATH-VIE
FRA-PMI
BOG-MDE
DUB-NTE
NOU-NTE
TLS-TYO
BCN-TCI
BEY-DXB
PAR-TRD
AMS-TUN
BOG-BRU
DAC-PAR
DLA-YAO
AMS-FAO
ALA-PAR
BRU-SKP
LIS-MLA
BJS-HKG
BUH-GVA
FRA-MOW
AGP-LIS
BJL-PAR
BAK-PAR
LIS-STR
MRS-QSF
LIG-NCE
AGP-MRS
GYE-MAD
IZM-LYS
BCN-MUC
EZS-PAR
ATH-ZRH
EAP-PAR
MIL-ROM
AMS-QUF
BUE-COR
BUD-PRG
JTR-MRS
NTE-PTP
ADA-BER
BIQ-LIL
FRA-HKG
MDE-PAR
AMS-BJS
BGO-OSL
GVA-RIO
AMS-BEG
BCN-CAI
MRU-NCE
FRA-SFO
LYS-YQB
GVA-NTE
GVA-IZM
SOF-VIE
LIM-TLS
PAR-YYC
BRU-CPT
SID-VXE
BRU-SAO
DUB-YVR
PAR-SAN
HAJ-LYS
PAR-YOW
BCN-HEL
PAR-RNS
BOO-PAR
ATH-EAP
BEG-ROM
BKK-PNH
BOD-EDI
MUC-SSX
DBV-FRA
SGN-TLS
CAI-IST
MAD-PUJ
MUC-TZX
ATH-BEY
DKR-LUX
CAY-PTP
LYS-PMI
HEL-MAD
AMS-DXB
LIS-TLV
NOU-SYD
CUN-MUC
MIL-VIE
BUD-GVA
LYS-THR
BRU-HAV
BCN-DXB
CTA-GVA
ANK-EAP
ATH-BEG
ATH-MIL
BKK-HKG
NGO-PAR
LEJ-PAR
LYS-OUA
BCN-MIL
BEY-CAI
BRC-BUE
BRU-PMI
FUK-PAR
AMS-FLR
IBZ-NCE
LON-MUC
STO-TLS
BRU-REK
ANK-MUC
MAD-VIE
NCE-PMO
AGP-QUF
CAI-MUC
ALY-PAR
ADA-STR
BRU-EAP
STO-STR
BOD-NOU
LYS-SXB
DUB-NYC
ABJ-TLS
AMS-TYO
CPH-OSL
BCN-BEG
BIO-BRU
EBB-PAR
INV-PAR
GVA-WAW
LYS-ZAG
DUB-VCE
KGS-PAR
BLJ-PAR
CCS-PAR
CLO-PAR
MIL-TLS
BRU-IBZ
BOD-TLV
GVA-PMI
AYT-BRU
FAO-GVA
ATH-DUS
BUH-MRS
FDF-YMQ
MOW-TLV
BCN-BEY
BEG-ZRH
NTE-SVQ
AKL-SYD
GPS-UIO
GVA-MNL
MPL-RAK
OSL-TLS
CAI-NCE
HAJ-ROM
LON-MIL
BOD-OPO
LON-VCE
BKK-TDX
HAM-HEL
LPA-MAD
BRU-CMB
BUE-USH
LON-NYC
FRA-GZT
BEG-LYS
BCN-OPO
COR-CUN
AGA-BOD
HNL-PAR
CTA-NCE
MUC-SKG
PAR-PHL
AMS-LCA
BOJ-PAR
FNC-OPO
DAD-PAR
FRA-YVR
MOW-SXB
PMI-TLS
MRS-TLS
LUX-TLV
GVA-NOU
IBZ-MRS
LIM-MRS
LYS-MIL
BKK-LUX
BLQ-LYS
MOW-PRG
FRA-LAS
MUC-TIA
BRU-LCA
GVA-JTR
IST-SJJ
FLR-LYS
LED-NCE
KIV-NCE
AKL-FRA
AGF-PAR
CPH-HEL
MUC-SGN
CPH-HAM
ASU-MAD
CPH-GVA
LYS-SAO
PAR-REC
DUB-ZRH
FRA-IEV
GPS-GYE
PTP-YMQ
BUH-VIE
MRS-SFO
NTE-VLC
PAR-WRO
CAS-RAK
NCE-NOU
CUN-FRA
GLA-LYS
FRA-MLA
EAP-VIE
MLA-TLS
LAD-LIS
LAD-PAR
ASR-FRA
HAV-SCU
NCE-QUF
MUC-OGU
MUC-SIN
ALG-ORN
BRU-DEL
CPH-LON
AMM-FRA
FLL-PAR
LYS-NAP
DXB-MCT
MUC-SPU
NCE-PNH
ALG-MLH
BJS-BRU
FAO-LIS
FRA-PRG
BOM-GOI
LIS-SVQ
MIL-NYC
BER-TRD
LYS-VNO
BOD-DUB
CTA-MRS
NYC-ZRH
MLA-ZRH
BRU-HAM
AMS-CAI
AMS-HKG
ATH-VCE
BER-GVA
GRZ-NCE
EVN-GVA
GVA-TIA
PAR-SFG
AUR-PAR
BER-MLA
AMS-LUX
DUB-LAS
LED-TLV
LON-RNS
AMS-NCL
LIS-QUF
QUF-STO
GVA-MUC
AYT-FRA
CPH-PRG
LUX-TLS
GVA-SGN
HAV-TLS
ALG-DSS
FRA-GVA
IBZ-LYS
MRS-SJO
BCN-IEV
BRU-CUN
IEV-TBS
ANK-BRU
KBV-USM
NCE-WAW
LUX-TYO
CTG-MDE
DUB-RIX
PAR-VRN
BUE-RIO
HKG-TPE
MAD-ZAG
SHA-TYO
ASR-DUS
CZL-NCE
MOW-SVX
SSX-STR
BKK-MNL
ABJ-CAS
BRU-GOT
HEL-MUC
MAD-MDE
BOD-CMB
MRS-SOF
ODS-TLV
BEY-MAD
CAI-DXB
CPH-NTE
ANK-NUE
BRU-LJU
GVA-HKG
EAP-YMQ
NCE-ZRH
BUE-LYS
BES-MLH
HEL-RVN
TIA-VIE
DUS-MIA
BER-LAX
DSS-NCE
CHC-PAR
LYS-QUF
BRU-KRK
SVQ-TLS
BRU-KIV
OVD-PAR
AMS-IEV
BRU-RIO
ATH-CAI
BER-LON
BOD-MRU
BCN-OSA
FAO-NCE
NTE-TCI
AGA-CAS
IST-MAD
AGP-LUX
BCN-LED
SKG-STR
GVA-HAN
LON-TUN
CPH-LUX
DUB-FRA
LEI-PAR
PRG-SXB
BRU-SIN
MAD-MGA
BOG-GVA
AGP-HAM
BCN-MIA
BCN-TBS
FRA-MEL
EDI-NTE
GVA-SJO
BRU-BUE
BRU-EDI
JTR-LYS
BEG-BER
MRS-RIO
BRU-LPA
ADA-DUS
AGP-VIE
AMS-YTO
CUN-MRS
MRS-OSL
PAR-PHX
ABJ-NTE
LYS-STR
BUE-SLA
BUH-MUC
BRU-KUL
BRU-BUD
ABJ-BRU
LCA-SKG
LIS-VXE
BER-SZG
LON-LOS
LYS-MEX
FLR-TLS
BCN-LAX
HAM-TBS
NCE-SGN
MUC-OSL
MVD-PAR
GRX-LYS
HAV-MAD
BER-MIA
BKK-HAN
FNC-GVA
BKK-DUB
CPT-MUC
DLA-LYS
AMS-TRN
BRU-IZM
SJO-TLS
AMS-THR
ALC-DUS
CAS-IEV
BRU-MRU
LIM-LPB
PAR-SRZ
BRU-YTO
GVA-QUF
CLY-LYS
LAS-LYS
DUB-ORL
